188.0,-101.0,19.0,8.0,-2.0,3.0,0.0,-1.0,;42.0,-18.0,-1.0,-12.0,-9.0,-3.0,-1.0,0.0,;13.0,-1.0,-28.0,-1.0,2.0,3.0,0.0,-0.0,;9.0,10.0,-11.0,-3.0,1.0,-0.0,2.0,-0.0,;7.0,-4.0,-3.0,-3.0,0.0,-0.0,-0.0,0.0,;2.0,2.0,-0.0,1.0,-1.0,1.0,-0.0,-0.0,;-1.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,;0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,;
277.0,10.0,4.0,5.0,1.0,1.0,-1.0,-0.0,;70.0,10.0,-8.0,-6.0,-0.0,-1.0,1.0,-0.0,;-2.0,-16.0,7.0,3.0,-1.0,-0.0,-1.0,1.0,;-3.0,2.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,;-1.0,6.0,1.0,-0.0,-1.0,-0.0,1.0,0.0,;-1.0,-1.0,-1.0,-0.0,1.0,-0.0,-0.0,0.0,;1.0,0.0,1.0,0.0,-0.0,0.0,-0.0,0.0,;-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,;
307.0,-35.0,-4.0,6.0,4.0,0.0,-0.0,-0.0,;26.0,16.0,-2.0,-5.0,-3.0,-0.0,0.0,0.0,;6.0,6.0,-1.0,-3.0,-1.0,-0.0,0.0,0.0,;0.0,2.0,6.0,5.0,2.0,0.0,-0.0,-0.0,;-2.0,-2.0,-1.0,-1.0,-0.0,-0.0,0.0,0.0,;-1.0,-1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,;1.0,0.0,-1.0,-0.0,-0.0,-0.0,0.0,-0.0,;-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,;
317.0,21.0,-13.0,4.0,1.0,-0.0,-0.0,-0.0,;-10.0,6.0,-2.0,-0.0,2.0,-0.0,0.0,-0.0,;6.0,-6.0,2.0,1.0,-1.0,1.0,-0.0,0.0,;9.0,-10.0,4.0,-1.0,0.0,0.0,-0.0,0.0,;3.0,-1.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,;1.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,;0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,;0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,;
315.0,-7.0,-5.0,-4.0,-0.0,-0.0,-0.0,-0.0,;-10.0,-13.0,-1.0,-2.0,1.0,1.0,-0.0,-0.0,;-7.0,0.0,1.0,2.0,1.0,-0.0,0.0,-0.0,;5.0,0.0,4.0,3.0,2.0,0.0,-0.0,0.0,;1.0,2.0,2.0,1.0,1.0,-0.0,0.0,-0.0,;1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,;-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,;0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,;
283.0,29.0,-17.0,-3.0,5.0,0.0,2.0,-1.0,;30.0,-30.0,7.0,1.0,-1.0,0.0,-1.0,1.0,;12.0,7.0,-2.0,-5.0,1.0,-2.0,0.0,1.0,;-10.0,0.0,3.0,-1.0,-1.0,1.0,0.0,-0.0,;-12.0,3.0,-3.0,2.0,1.0,-0.0,0.0,-0.0,;3.0,-4.0,0.0,-1.0,-0.0,-0.0,-0.0,0.0,;2.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,;-1.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,;
306.0,7.0,-4.0,-3.0,-0.0,-1.0,0.0,-0.0,;-3.0,5.0,6.0,3.0,-3.0,1.0,0.0,-0.0,;2.0,1.0,4.0,1.0,-1.0,1.0,-0.0,0.0,;-1.0,1.0,-1.0,-1.0,-1.0,-0.0,0.0,-0.0,;-4.0,3.0,-1.0,-0.0,0.0,-0.0,-0.0,-0.0,;2.0,-0.0,0.0,1.0,-0.0,0.0,0.0,0.0,;0.0,-1.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,;-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,;
268.0,12.0,2.0,1.0,6.0,2.0,-1.0,1.0,;-8.0,8.0,6.0,-11.0,-4.0,-0.0,-2.0,3.0,;-0.0,-2.0,-9.0,-1.0,-2.0,1.0,-0.0,1.0,;-6.0,-4.0,-6.0,3.0,3.0,-0.0,1.0,-1.0,;4.0,-2.0,-2.0,2.0,-2.0,0.0,0.0,-0.0,;7.0,-1.0,-0.0,0.0,-1.0,-0.0,-0.0,0.0,;-3.0,-0.0,-0.0,0.0,1.0,-0.0,0.0,-0.0,;1.0,-0.0,-0.0,0.0,-1.0,0.0,-0.0,0.0,;
258.0,-50.0,7.0,9.0,-3.0,1.0,-0.0,-0.0,;-16.0,-19.0,-2.0,5.0,1.0,-0.0,-0.0,1.0,;-0.0,5.0,-1.0,-10.0,-4.0,1.0,1.0,0.0,;0.0,0.0,5.0,1.0,2.0,1.0,1.0,-0.0,;1.0,-2.0,2.0,0.0,1.0,-0.0,-0.0,-0.0,;0.0,3.0,2.0,-0.0,-1.0,0.0,-0.0,-0.0,;2.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,;-1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,;
221.0,26.0,-5.0,17.0,2.0,2.0,-1.0,0.0,;55.0,4.0,-12.0,-7.0,-6.0,-0.0,-0.0,1.0,;28.0,-2.0,11.0,-6.0,-5.0,-0.0,0.0,0.0,;-3.0,-12.0,-0.0,5.0,5.0,0.0,-1.0,-0.0,;-5.0,4.0,1.0,2.0,0.0,-1.0,0.0,0.0,;-2.0,-0.0,3.0,-3.0,-1.0,0.0,0.0,0.0,;0.0,1.0,-1.0,-0.0,0.0,-0.0,0.0,-0.0,;-0.0,-1.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,;
